60.6,61.0993558232,61.5993558234,62.0993558236,62.5993558237,63.0993558239,63.599355824,64.0993558242,64.5993558244,65.0993558245,65.5993558247
60.0,60.5000000002,61.0000000003,61.5000000005,62.0000000006,62.5000000008,63.000000001,63.5000000011,64.0000000013,64.5000000014,65.0000000016
59.4,59.9000000002,60.4000000003,60.9000000005,61.4000000006,61.9000000008,62.400000001,62.9000000011,63.4000000013,63.9000000014,64.4000000016
58.8,59.3000000002,59.8000000003,60.3000000005,60.8000000006,61.3000000008,61.800000001,62.3000000011,62.8000000013,63.3000000014,63.8000000016
58.2,58.7000000002,59.2000000003,59.7000000005,60.2000000006,60.7000000008,61.200000001,61.7000000011,62.2000000013,62.7000000014,63.2000000016
57.6,58.1000000002,58.6000000003,59.1000000005,59.6000000006,60.1000000008,60.600000001,61.1000000011,61.6000000013,62.1000000014,62.6000000016
57.0,57.5000000002,58.0000000003,58.5000000005,59.0000000006,59.5000000008,60.000000001,60.5000000011,61.0000000013,61.5000000014,62.0000000016
56.4,56.9000000002,57.4000000003,57.9000000005,58.4000000006,58.9000000008,59.400000001,59.9000000011,60.4000000013,60.9000000014,61.4000000016
55.8,56.3000000002,56.8000000003,57.3000000005,57.8000000006,58.3000000008,58.800000001,59.3000000011,59.8000000013,60.3000000014,60.8000000016
55.2,55.7000000002,56.2000000003,56.7000000005,57.2000000006,57.7000000008,58.200000001,58.7000000011,59.2000000013,59.7000000014,60.2000000016
54.6,55.1000000002,55.6000000003,56.1000000005,56.6000000006,57.1000000008,57.600000001,58.1000000011,58.6000000013,59.1000000014,59.6000000016
54.0,54.5000000002,55.0000000003,55.5000000005,56.0000000006,56.5000000008,57.000000001,57.5000000011,58.0000000013,58.5000000014,59.0000000016
53.4,53.9000000002,54.4000000003,54.9000000005,55.4000000006,55.9000000008,56.400000001,56.9000000011,57.4000000013,57.9000000014,58.4000000016
52.8,53.3000000002,53.8000000003,54.3000000005,54.8000000006,55.3000000008,55.800000001,56.3000000011,56.8000000013,57.3000000014,57.8000000016
52.2,52.7000000002,53.2000000003,53.7000000005,54.2000000006,54.7000000008,55.200000001,55.7000000011,56.2000000013,56.7000000014,57.2000000016
51.6,52.1000000002,52.6000000003,53.1000000005,53.6000000006,54.1000000008,54.600000001,55.1000000011,55.6000000013,56.1000000014,56.6000000016
51.0,51.5000000002,52.0000000003,52.5000000005,53.0000000006,53.5000000008,54.000000001,54.5000000011,55.0000000013,55.5000000014,56.0000000016
50.4,50.9000000002,51.4000000003,51.9000000005,52.4000000006,52.9000000008,53.400000001,53.9000000011,54.4000000013,54.9000000014,55.4000000016
49.8,50.3000000002,50.8000000003,51.3000000005,51.8000000006,52.3000000008,52.800000001,53.3000000011,53.8000000013,54.3000000014,54.8000000016
49.2,49.7000000002,50.2000000003,50.7000000005,51.2000000006,51.7000000008,52.200000001,52.7000000011,53.2000000013,53.7000000014,54.2000000016
48.6,49.1000000002,49.6000000003,50.1000000005,50.6000000006,51.1000000008,51.600000001,52.1000000011,52.6000000013,53.1000000014,53.6000000016
48.0,48.5000000002,49.0000000003,49.5000000005,50.0000000006,50.5000000008,51.000000001,51.5000000011,52.0000000013,52.5000000014,53.0000000016
47.4,47.9000000002,48.4000000003,48.9000000005,49.4000000006,49.9000000008,50.400000001,50.9000000011,51.4000000013,51.9000000014,52.4000000016
46.8,47.3000000002,47.8000000003,48.3000000005,48.8000000006,49.3000000008,49.800000001,50.3000000011,50.8000000013,51.3000000014,51.8000000016
46.2,46.7000000002,47.2000000003,47.7000000005,48.2000000006,48.6999979246,49.1999979248,49.6999979249,50.1999979251,50.6999979253,51.1999979254
45.6,46.1000000002,46.6000000003,47.1000000005,47.6000000006,48.0999813797,48.5999813798,49.09998138,49.5999813802,50.0999813803,50.5999813805
45.0,45.5000000002,46.0000000003,46.5000000005,47.0000000006,47.4999435813,47.9999435814,48.4999435816,48.9999435817,49.4999435819,49.9999435821
44.4,44.9000000002,45.4000000003,45.9000000005,46.4000000006,46.8998719858,47.399871986,47.8998719861,48.3998719863,48.8998719865,49.3998719866
43.8,44.3000000002,44.8000000003,45.3000000005,45.8000000006,46.2995472024,46.7995472025,47.2995472027,47.7995472029,48.299547203,48.7995472032
43.2,43.6999683482,44.1999213906,44.6999019848,45.1998916914,45.6987452862,46.1987452863,46.6987452865,47.1987452867,47.6987452868,48.198745287
42.6,43.0995575379,43.5994693757,44.0994334241,44.5994144595,45.0973908864,45.5973908865,46.0973908867,46.5973908869,47.097390887,47.5973908872
42.0,42.4989373315,42.9988196061,43.498771857,43.9987467235,44.4953506044,44.9953506046,45.4953506047,45.9953506049,46.4953506051,46.9953506052
41.4,41.8982072628,42.3980706056,42.8980155095,43.3979865804,43.8923788371,44.3923788373,44.8923788374,45.3923788376,45.8923788378,46.3923788379
40.8,41.297439689,41.7972936814,42.297235133,42.7972044627,43.2881399031,43.7881399033,44.2881399035,44.7881399036,45.2881399038,45.7881399039
40.2,40.6966732509,41.1965241128,41.6964647301,42.1964337385,42.6822033441,43.1822019026,43.6822019028,44.182201903,44.6822019031,45.1822019033
39.6,40.095919238,40.5957690672,41.0957094452,41.5956783663,42.0761466626,42.574015729,43.0740157292,43.5740157294,44.0740157295,44.5740157297
39.0,39.4951781413,39.9950274817,40.4949677446,40.9949366229,41.4713690483,41.9629033643,42.4629033644,42.9629033646,43.4629033647,43.9629033649
38.4,38.8944481248,39.3942971737,39.8942373665,40.3942062184,40.8675384743,41.3480304035,41.8480304037,42.3480304038,42.848030404,43.3480304041
